start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1 with read ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1330 with read ROI [700:5700, 368:4368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2300 with read ROI [700:5700, 368:4368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/121 with read ROI [700:5700, 4368:8368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1541 with read ROI [700:5700, 4368:8368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3655 with read ROI [700:5700, 4368:8368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/223 with read ROI [700:5700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2928 with read ROI [700:5700, 8368:12368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3279 with read ROI [700:5700, 8368:12368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3657 with read ROI [700:5700, 8368:12368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4063 with read ROI [700:5700, 8368:12368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 104368:108368] (5000, 4000, 4000)
