start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/35 with read ROI [700:5700, 368:4368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/560 with read ROI [700:5700, 368:4368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5 with read ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/36 with read ROI [700:5700, 4368:8368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1331 with read ROI [700:5700, 4368:8368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2301 with read ROI [700:5700, 4368:8368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/59 with read ROI [700:5700, 8368:12368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1143 with read ROI [700:5700, 8368:12368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/226 with read ROI [700:5700, 12368:16368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1546 with read ROI [700:5700, 12368:16368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/979 with read ROI [700:5700, 16368:20368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3286 with read ROI [700:5700, 16368:20368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3664 with read ROI [700:5700, 16368:20368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4505 with read ROI [700:5700, 16368:20368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4970 with read ROI [700:5700, 16368:20368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/50 with read ROI [700:5700, 20368:24368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/99 with read ROI [700:5700, 20368:24368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/695 with read ROI [700:5700, 20368:24368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3669 with read ROI [700:5700, 20368:24368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4075 with read ROI [700:5700, 20368:24368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4510 with read ROI [700:5700, 20368:24368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4975 with read ROI [700:5700, 20368:24368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5471 with read ROI [700:5700, 20368:24368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5999 with read ROI [700:5700, 20368:24368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 20368:24368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/77 with read ROI [700:5700, 24368:28368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/105 with read ROI [700:5700, 24368:28368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/141 with read ROI [700:5700, 24368:28368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/241 with read ROI [700:5700, 24368:28368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1561 with read ROI [700:5700, 24368:28368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/708 with read ROI [700:5700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3304 with read ROI [700:5700, 28368:32368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/716 with read ROI [700:5700, 32368:36368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2636 with read ROI [700:5700, 32368:36368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4996 with read ROI [700:5700, 32368:36368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/500 with read ROI [700:5700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 16368:20368] (5000, 4000, 4000)
