start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/0 with read ROI [700:5700, 368:4368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/220 with read ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2024 with read ROI [700:5700, 368:4368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/166 with read ROI [700:5700, 4368:8368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1772 with read ROI [700:5700, 4368:8368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2601 with read ROI [700:5700, 4368:8368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/123 with read ROI [700:5700, 8368:12368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1543 with read ROI [700:5700, 8368:12368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/171 with read ROI [700:5700, 12368:16368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1336 with read ROI [700:5700, 12368:16368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/570 with read ROI [700:5700, 16368:20368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4070 with read ROI [700:5700, 16368:20368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5466 with read ROI [700:5700, 16368:20368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 16368:20368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/71 with read ROI [700:5700, 20368:24368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/135 with read ROI [700:5700, 20368:24368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1155 with read ROI [700:5700, 20368:24368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3291 with read ROI [700:5700, 20368:24368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/701 with read ROI [700:5700, 24368:28368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2621 with read ROI [700:5700, 24368:28368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/588 with read ROI [700:5700, 28368:32368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2953 with read ROI [700:5700, 28368:32368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1176 with read ROI [700:5700, 32368:36368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5492 with read ROI [700:5700, 32368:36368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7806 with read ROI [700:5700, 32368:36368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 32368:36368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/331 with read ROI [700:5700, 36368:40368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1014 with read ROI [700:5700, 36368:40368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3699 with read ROI [700:5700, 36368:40368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2355 with read ROI [700:5700, 40368:44368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6600 with read ROI [700:5700, 40368:44368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9194 with read ROI [700:5700, 40368:44368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 40368:44368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/430 with read ROI [700:5700, 44368:48368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/626 with read ROI [700:5700, 44368:48368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1837 with read ROI [700:5700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6050 with read ROI [700:5700, 44368:48368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2102 with read ROI [700:5700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5534 with read ROI [700:5700, 48368:52368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1421 with read ROI [700:5700, 52368:56368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3745 with read ROI [700:5700, 52368:56368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1645 with read ROI [700:5700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6089 with read ROI [700:5700, 56368:60368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2720 with read ROI [700:5700, 60368:64368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6104 with read ROI [700:5700, 60368:64368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3790 with read ROI [700:5700, 64368:68368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8572 with read ROI [700:5700, 64368:68368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3429 with read ROI [700:5700, 68368:72368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8589 with read ROI [700:5700, 68368:72368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2771 with read ROI [700:5700, 72368:76368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 24368:28368] (5000, 4000, 4000)
