start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/165 with read ROI [700:5700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/455 with read ROI [700:5700, 368:4368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2925 with read ROI [700:5700, 368:4368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/221 with read ROI [700:5700, 4368:8368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/970 with read ROI [700:5700, 4368:8368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3277 with read ROI [700:5700, 4368:8368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/87 with read ROI [700:5700, 8368:12368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/819 with read ROI [700:5700, 8368:12368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/370 with read ROI [700:5700, 12368:16368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2931 with read ROI [700:5700, 12368:16368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3282 with read ROI [700:5700, 12368:16368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3660 with read ROI [700:5700, 12368:16368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4066 with read ROI [700:5700, 12368:16368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4501 with read ROI [700:5700, 12368:16368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4966 with read ROI [700:5700, 12368:16368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 12368:16368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/30 with read ROI [700:5700, 16368:20368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/45 with read ROI [700:5700, 16368:20368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/66 with read ROI [700:5700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/130 with read ROI [700:5700, 16368:20368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/826 with read ROI [700:5700, 16368:20368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2935 with read ROI [700:5700, 16368:20368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/984 with read ROI [700:5700, 20368:24368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/186 with read ROI [700:5700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1351 with read ROI [700:5700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/997 with read ROI [700:5700, 28368:32368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4988 with read ROI [700:5700, 28368:32368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6573 with read ROI [700:5700, 28368:32368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/156 with read ROI [700:5700, 32368:36368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/256 with read ROI [700:5700, 32368:36368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/491 with read ROI [700:5700, 32368:36368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2961 with read ROI [700:5700, 32368:36368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4531 with read ROI [700:5700, 32368:36368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1185 with read ROI [700:5700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4105 with read ROI [700:5700, 36368:40368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1385 with read ROI [700:5700, 40368:44368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4115 with read ROI [700:5700, 40368:44368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/746 with read ROI [700:5700, 44368:48368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2991 with read ROI [700:5700, 44368:48368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/638 with read ROI [700:5700, 48368:52368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3354 with read ROI [700:5700, 48368:52368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2691 with read ROI [700:5700, 52368:56368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7231 with read ROI [700:5700, 52368:56368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2705 with read ROI [700:5700, 56368:60368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7245 with read ROI [700:5700, 56368:60368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3774 with read ROI [700:5700, 60368:64368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1676 with read ROI [700:5700, 64368:68368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5096 with read ROI [700:5700, 64368:68368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1924 with read ROI [700:5700, 68368:72368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5609 with read ROI [700:5700, 68368:72368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4666 with read ROI [700:5700, 72368:76368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 44368:48368] (5000, 4000, 4000)
