start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/84 with read ROI [700:5700, 368:4368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/816 with read ROI [700:5700, 368:4368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2 with read ROI [700:5700, 4368:8368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11 with read ROI [700:5700, 4368:8368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/456 with read ROI [700:5700, 4368:8368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7 with read ROI [700:5700, 8368:12368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/289 with read ROI [700:5700, 8368:12368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1333 with read ROI [700:5700, 8368:12368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/822 with read ROI [700:5700, 12368:16368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/94 with read ROI [700:5700, 16368:20368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1550 with read ROI [700:5700, 16368:20368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/235 with read ROI [700:5700, 20368:24368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2039 with read ROI [700:5700, 20368:24368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/837 with read ROI [700:5700, 24368:28368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3297 with read ROI [700:5700, 24368:28368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1168 with read ROI [700:5700, 28368:32368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4523 with read ROI [700:5700, 28368:32368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/322 with read ROI [700:5700, 32368:36368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1366 with read ROI [700:5700, 32368:36368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6020 with read ROI [700:5700, 32368:36368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7176 with read ROI [700:5700, 32368:36368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/265 with read ROI [700:5700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/605 with read ROI [700:5700, 36368:40368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2345 with read ROI [700:5700, 36368:40368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/615 with read ROI [700:5700, 40368:44368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2655 with read ROI [700:5700, 40368:44368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1035 with read ROI [700:5700, 44368:48368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5026 with read ROI [700:5700, 44368:48368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1849 with read ROI [700:5700, 48368:52368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6062 with read ROI [700:5700, 48368:52368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1631 with read ROI [700:5700, 52368:56368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5051 with read ROI [700:5700, 52368:56368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8527 with read ROI [700:5700, 52368:56368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9971 with read ROI [700:5700, 52368:56368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/785 with read ROI [700:5700, 56368:60368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1435 with read ROI [700:5700, 56368:60368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4165 with read ROI [700:5700, 56368:60368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1089 with read ROI [700:5700, 60368:64368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5080 with read ROI [700:5700, 60368:64368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3412 with read ROI [700:5700, 64368:68368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6120 with read ROI [700:5700, 64368:68368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5113 with read ROI [700:5700, 68368:72368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9292 with read ROI [700:5700, 68368:72368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3096 with read ROI [700:5700, 72368:76368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8607 with read ROI [700:5700, 72368:76368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2790 with read ROI [700:5700, 76368:80368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5646 with read ROI [700:5700, 76368:80368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2510 with read ROI [700:5700, 80368:84368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7350 with read ROI [700:5700, 80368:84368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14400 with read ROI [700:5700, 80368:84368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/15390 with read ROI [700:5700, 80368:84368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 96368:100368] (5000, 4000, 4000)
