start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/20 with read ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/286 with read ROI [700:5700, 368:4368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2600 with read ROI [700:5700, 368:4368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/21 with read ROI [700:5700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/561 with read ROI [700:5700, 4368:8368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/38 with read ROI [700:5700, 8368:12368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/683 with read ROI [700:5700, 8368:12368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2603 with read ROI [700:5700, 8368:12368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16 with read ROI [700:5700, 12368:16368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/41 with read ROI [700:5700, 12368:16368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/90 with read ROI [700:5700, 12368:16368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/975 with read ROI [700:5700, 12368:16368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/230 with read ROI [700:5700, 16368:20368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1340 with read ROI [700:5700, 16368:20368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/180 with read ROI [700:5700, 20368:24368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1555 with read ROI [700:5700, 20368:24368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/476 with read ROI [700:5700, 24368:28368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2321 with read ROI [700:5700, 24368:28368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/314 with read ROI [700:5700, 28368:32368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1568 with read ROI [700:5700, 28368:32368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4088 with read ROI [700:5700, 28368:32368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2060 with read ROI [700:5700, 32368:36368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6581 with read ROI [700:5700, 32368:36368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 100368:104368] (5000, 4000, 4000)
