start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/120 with read ROI [700:5700, 368:4368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/364 with read ROI [700:5700, 368:4368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1540 with read ROI [700:5700, 368:4368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/287 with read ROI [700:5700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/817 with read ROI [700:5700, 4368:8368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13 with read ROI [700:5700, 8368:12368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/458 with read ROI [700:5700, 8368:12368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2027 with read ROI [700:5700, 8368:12368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/461 with read ROI [700:5700, 12368:16368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2030 with read ROI [700:5700, 12368:16368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/374 with read ROI [700:5700, 16368:20368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2034 with read ROI [700:5700, 16368:20368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/470 with read ROI [700:5700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1345 with read ROI [700:5700, 20368:24368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1161 with read ROI [700:5700, 24368:28368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4081 with read ROI [700:5700, 24368:28368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4516 with read ROI [700:5700, 24368:28368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4981 with read ROI [700:5700, 24368:28368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5477 with read ROI [700:5700, 24368:28368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6005 with read ROI [700:5700, 24368:28368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6566 with read ROI [700:5700, 24368:28368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 24368:28368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/112 with read ROI [700:5700, 28368:32368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 368:4368] (5000, 4000, 4000)
