start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4 with read ROI [700:5700, 368:4368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/680 with read ROI [700:5700, 368:4368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3654 with read ROI [700:5700, 368:4368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 368:4368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/85 with read ROI [700:5700, 4368:8368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1141 with read ROI [700:5700, 4368:8368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/23 with read ROI [700:5700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/563 with read ROI [700:5700, 8368:12368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1774 with read ROI [700:5700, 8368:12368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/566 with read ROI [700:5700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2606 with read ROI [700:5700, 12368:16368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/690 with read ROI [700:5700, 16368:20368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 44368:48368] (5000, 4000, 4000)
