start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1 with read ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/561 with read ROI [700:5700, 4368:8368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/126 with read ROI [700:5700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1146 with read ROI [700:5700, 12368:16368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 12368:16368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/470 with read ROI [700:5700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1168 with read ROI [700:5700, 28368:32368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1176 with read ROI [700:5700, 32368:36368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/341 with read ROI [700:5700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3342 with read ROI [700:5700, 44368:48368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 44368:48368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1849 with read ROI [700:5700, 48368:52368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/665 with read ROI [700:5700, 56368:60368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3396 with read ROI [700:5700, 60368:63624, 44368:48368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 44368:48368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/818 with read ROI [5700:10700, 368:4368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 368:4368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/169 with read ROI [5700:10700, 4368:8368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/293 with read ROI [5700:10700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/380 with read ROI [5700:10700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 28368:32368] (5000, 4000, 4000)
