start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/560 with read ROI [700:5700, 368:4368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/13 with read ROI [700:5700, 8368:12368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/171 with read ROI [700:5700, 12368:16368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/822 with read ROI [700:5700, 12368:16368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/575 with read ROI [700:5700, 20368:24368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/708 with read ROI [700:5700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1014 with read ROI [700:5700, 36368:40368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2079 with read ROI [700:5700, 40368:44368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2366 with read ROI [700:5700, 44368:48368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3003 with read ROI [700:5700, 48368:52368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/785 with read ROI [700:5700, 56368:60368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3 with read ROI [5700:10700, 368:4368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/39 with read ROI [5700:10700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/172 with read ROI [5700:10700, 8368:12368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/371 with read ROI [5700:10700, 8368:12368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/302 with read ROI [5700:10700, 16368:20368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1346 with read ROI [5700:10700, 16368:20368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 56368:60368] (5000, 4000, 4000)
