start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/20 with read ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/123 with read ROI [700:5700, 8368:12368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/563 with read ROI [700:5700, 8368:12368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/30 with read ROI [700:5700, 16368:20368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1555 with read ROI [700:5700, 20368:24368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 20368:24368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/112 with read ROI [700:5700, 28368:32368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2052 with read ROI [700:5700, 28368:32368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 28368:32368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1807 with read ROI [700:5700, 32368:36368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1024 with read ROI [700:5700, 40368:44368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/638 with read ROI [700:5700, 48368:52368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1631 with read ROI [700:5700, 52368:56368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 28368:32368] (5000, 4000, 4000)
