start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/36 with read ROI [700:5700, 4368:8368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/168 with read ROI [700:5700, 8368:12368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/458 with read ROI [700:5700, 8368:12368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/175 with read ROI [700:5700, 16368:20368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/99 with read ROI [700:5700, 20368:24368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/77 with read ROI [700:5700, 24368:28368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/248 with read ROI [700:5700, 28368:32368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/500 with read ROI [700:5700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1816 with read ROI [700:5700, 36368:40368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1396 with read ROI [700:5700, 44368:48368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2102 with read ROI [700:5700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1645 with read ROI [700:5700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/12 with read ROI [5700:10700, 368:4368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/124 with read ROI [5700:10700, 4368:8368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/687 with read ROI [5700:10700, 8368:12368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1341 with read ROI [5700:10700, 12368:16368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 12368:16368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/477 with read ROI [5700:10700, 20368:24368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/484 with read ROI [5700:10700, 24368:28368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/401 with read ROI [5700:10700, 28368:32368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1577 with read ROI [5700:10700, 28368:32368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1386 with read ROI [5700:10700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1838 with read ROI [5700:10700, 40368:44368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/652 with read ROI [5700:10700, 48368:52368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2706 with read ROI [5700:10700, 52368:56368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3397 with read ROI [5700:10700, 56368:60368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3062 with read ROI [5700:10700, 60368:63624, 36368:40368] (5000, 3256, 4000) and write ROI [5700:10700, 60368:63624, 36368:40368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/170 with read ROI [10700:15700, 368:4368, 28368:32368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/32 with read ROI [10700:15700, 8368:12368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/467 with read ROI [10700:15700, 8368:12368, 36368:40368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1157 with read ROI [10700:15700, 12368:16368, 52368:56368] (5000, 4000, 4000) and write ROI [10700:15700, 12368:16368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/485 with read ROI [10700:15700, 20368:24368, 24368:28368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1570 with read ROI [10700:15700, 20368:24368, 52368:56368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/333 with read ROI [10700:15700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [10700:15700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/432 with read ROI [10700:15700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [10700:15700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/760 with read ROI [10700:15700, 40368:44368, 12368:16368] (5000, 4000, 4000) and write ROI [10700:15700, 40368:44368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1220 with read ROI [10700:15700, 40368:44368, 24368:28368] (5000, 4000, 4000) and write ROI [10700:15700, 40368:44368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2393 with read ROI [10700:15700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1091 with read ROI [10700:15700, 52368:56368, 8368:12368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4633 with read ROI [10700:15700, 56368:60368, 52368:56368] (5000, 4000, 4000) and write ROI [10700:15700, 56368:60368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/129 with read ROI [15700:20700, 368:4368, 20368:24368] (5000, 4000, 4000) and write ROI [15700:20700, 368:4368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/829 with read ROI [15700:20700, 4368:8368, 48368:52368] (5000, 4000, 4000) and write ROI [15700:20700, 4368:8368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/388 with read ROI [15700:20700, 12368:16368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 12368:16368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1000 with read ROI [15700:20700, 16368:20368, 40368:44368] (5000, 4000, 4000) and write ROI [15700:20700, 16368:20368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/608 with read ROI [15700:20700, 24368:28368, 20368:24368] (5000, 4000, 4000) and write ROI [15700:20700, 24368:28368, 20368:24368] (5000, 4000, 4000)
