start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5 with read ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/87 with read ROI [700:5700, 8368:12368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/683 with read ROI [700:5700, 8368:12368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/296 with read ROI [700:5700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/135 with read ROI [700:5700, 20368:24368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1351 with read ROI [700:5700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/256 with read ROI [700:5700, 32368:36368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1585 with read ROI [700:5700, 36368:40368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2655 with read ROI [700:5700, 40368:44368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2090 with read ROI [700:5700, 44368:48368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1618 with read ROI [700:5700, 48368:52368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 32368:36368] (5000, 4000, 4000)
