start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/165 with read ROI [700:5700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/223 with read ROI [700:5700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/90 with read ROI [700:5700, 12368:16368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/45 with read ROI [700:5700, 16368:20368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/301 with read ROI [700:5700, 20368:24368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/831 with read ROI [700:5700, 20368:24368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/844 with read ROI [700:5700, 28368:32368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2060 with read ROI [700:5700, 32368:36368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/871 with read ROI [700:5700, 40368:44368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/882 with read ROI [700:5700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/894 with read ROI [700:5700, 48368:52368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1862 with read ROI [700:5700, 52368:56368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2705 with read ROI [700:5700, 56368:60368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2420 with read ROI [700:5700, 60368:63624, 32368:36368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 32368:36368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/14 with read ROI [5700:10700, 4368:8368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/91 with read ROI [5700:10700, 8368:12368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/827 with read ROI [5700:10700, 12368:16368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1162 with read ROI [5700:10700, 20368:24368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1800 with read ROI [5700:10700, 24368:28368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/266 with read ROI [5700:10700, 32368:36368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/342 with read ROI [5700:10700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/353 with read ROI [5700:10700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/895 with read ROI [5700:10700, 44368:48368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3355 with read ROI [5700:10700, 44368:48368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2130 with read ROI [5700:10700, 52368:56368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1892 with read ROI [5700:10700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/565 with read ROI [10700:15700, 368:4368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/568 with read ROI [10700:15700, 4368:8368, 44368:48368] (5000, 4000, 4000) and write ROI [10700:15700, 4368:8368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/232 with read ROI [10700:15700, 8368:12368, 24368:28368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/79 with read ROI [10700:15700, 16368:20368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 368:4368] (5000, 4000, 4000)
