start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/680 with read ROI [700:5700, 368:4368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 368:4368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/456 with read ROI [700:5700, 4368:8368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/370 with read ROI [700:5700, 12368:16368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/826 with read ROI [700:5700, 16368:20368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/695 with read ROI [700:5700, 20368:24368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/148 with read ROI [700:5700, 28368:32368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1005 with read ROI [700:5700, 32368:36368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/275 with read ROI [700:5700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1837 with read ROI [700:5700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1218 with read ROI [700:5700, 48368:52368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2129 with read ROI [700:5700, 56368:60368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1891 with read ROI [700:5700, 60368:63624, 24368:28368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 24368:28368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/8 with read ROI [5700:10700, 4368:8368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/290 with read ROI [5700:10700, 4368:8368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/176 with read ROI [5700:10700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/691 with read ROI [5700:10700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1156 with read ROI [5700:10700, 16368:20368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1793 with read ROI [5700:10700, 20368:24368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 20368:24368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/589 with read ROI [5700:10700, 24368:28368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/853 with read ROI [5700:10700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1827 with read ROI [5700:10700, 36368:40368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/534 with read ROI [5700:10700, 44368:48368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3017 with read ROI [5700:10700, 48368:52368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/937 with read ROI [5700:10700, 56368:60368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2737 with read ROI [5700:10700, 60368:63624, 32368:36368] (5000, 3256, 4000) and write ROI [5700:10700, 60368:63624, 32368:36368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/291 with read ROI [10700:15700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/294 with read ROI [10700:15700, 4368:8368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 4368:8368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/96 with read ROI [10700:15700, 8368:12368, 12368:16368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/107 with read ROI [10700:15700, 16368:20368, 4368:8368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1163 with read ROI [10700:15700, 16368:20368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/598 with read ROI [10700:15700, 24368:28368, 24368:28368] (5000, 4000, 4000) and write ROI [10700:15700, 24368:28368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2338 with read ROI [10700:15700, 24368:28368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 24368:28368, 60368:63624] (5000, 4000, 3256)
